# Force        
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1               -1.0159494e+02 3.8835085e-02 4.5890469e+00 -1.0175816e+02 3.8716269e-02 4.5920902e+00 1.6321603e-01 1.1881595e-04 -3.0432506e-03
2               -6.9340867e+01 -8.7715267e-03 2.7527322e+01 -6.9237550e+01 -8.9698011e-03 2.7522452e+01 -1.0331665e-01 1.9827431e-04 4.8697234e-03
3               -2.5823525e+01 -7.0917846e-02 5.4048635e+01 -2.5660209e+01 -7.1511054e-02 5.4042305e+01 -1.6331613e-01 5.9320750e-04 6.3305685e-03
4               -1.3264220e+01 1.8997210e-02 4.2514882e+01 -1.3106880e+01 1.8411227e-02 4.2514845e+01 -1.5734004e-01 5.8598245e-04 3.6738831e-05
5               -1.6051720e+01 4.7631214e-02 2.5975481e+01 -1.5895418e+01 4.7083709e-02 2.5981481e+01 -1.5630225e-01 5.4750438e-04 -5.9997409e-03
6               -2.1546049e+01 -3.7660256e-02 1.8866736e+01 -2.1383523e+01 -3.7810358e-02 1.8875591e+01 -1.6252575e-01 1.5010184e-04 -8.8558728e-03
7               -2.4627707e+01 -1.6913359e-01 1.8427218e+01 -2.4451694e+01 -1.6895750e-01 1.8436439e+01 -1.7601308e-01 -1.7608821e-04 -9.2205332e-03
8               -2.4823088e+01 -2.5754615e-01 2.0346438e+01 -2.4632176e+01 -2.5704122e-01 2.0354814e+01 -1.9091246e-01 -5.0492573e-04 -8.3764161e-03
9               -2.3473476e+01 -2.9126419e-01 2.2233589e+01 -2.3268191e+01 -2.9048323e-01 2.2240985e+01 -2.0528538e-01 -7.8096589e-04 -7.3959145e-03
10              -2.1771022e+01 -2.7846777e-01 2.3419255e+01 -2.1552742e+01 -2.7752937e-01 2.3426469e+01 -2.1827961e-01 -9.3840166e-04 -7.2138281e-03
11              -2.0351310e+01 -2.4340062e-01 2.4124349e+01 -2.0121313e+01 -2.4242799e-01 2.4131867e+01 -2.2999728e-01 -9.7262507e-04 -7.5182370e-03
12              -1.9461056e+01 -1.9634868e-01 2.5004477e+01 -1.9220611e+01 -1.9553936e-01 2.5012773e+01 -2.4044537e-01 -8.0932164e-04 -8.2958246e-03
13              -1.8982155e+01 -1.5317874e-01 2.6326193e+01 -1.8732544e+01 -1.5251173e-01 2.6335258e+01 -2.4961082e-01 -6.6701338e-04 -9.0643307e-03
14              -1.8818620e+01 -1.0801092e-01 2.8293452e+01 -1.8560722e+01 -1.0769319e-01 2.8303466e+01 -2.5789809e-01 -3.1772972e-04 -1.0013774e-02
15              -1.8779665e+01 -7.8349217e-02 3.0728852e+01 -1.8514670e+01 -7.8257373e-02 3.0739521e+01 -2.6499503e-01 -9.1844294e-05 -1.0668974e-02
16              -1.8820319e+01 -6.2106419e-02 3.3452756e+01 -1.8549040e+01 -6.2200153e-02 3.3464173e+01 -2.7127945e-01 9.3733673e-05 -1.1417943e-02
17              -1.8828675e+01 -5.8828649e-02 3.6162955e+01 -1.8552223e+01 -5.9021580e-02 3.6174820e+01 -2.7645273e-01 1.9293097e-04 -1.1865473e-02
18              -1.8849270e+01 -6.1033163e-02 3.8778348e+01 -1.8568636e+01 -6.1323545e-02 3.8790805e+01 -2.8063378e-01 2.9038210e-04 -1.2457067e-02
19              -1.8819891e+01 -6.8064144e-02 4.1117616e+01 -1.8536509e+01 -6.8424193e-02 4.1130347e+01 -2.8338201e-01 3.6004896e-04 -1.2731464e-02
20              -1.8810905e+01 -7.7055978e-02 4.3245304e+01 -1.8525866e+01 -7.7461012e-02 4.3258428e+01 -2.8503973e-01 4.0503358e-04 -1.3124198e-02
21              -1.8773731e+01 -8.7508790e-02 4.5115394e+01 -1.8487843e+01 -8.7916251e-02 4.5128674e+01 -2.8588806e-01 4.0746139e-04 -1.3280361e-02
22              -1.8768839e+01 -1.0230273e-01 4.6790510e+01 -1.8482693e+01 -1.0270501e-01 4.6804084e+01 -2.8614647e-01 4.0228229e-04 -1.3574369e-02
23              -1.8731182e+01 -1.1876637e-01 4.8200230e+01 -1.8445069e+01 -1.1914456e-01 4.8213883e+01 -2.8611292e-01 3.7818810e-04 -1.3653438e-02
24              -1.8733780e+01 -1.3279027e-01 4.9485928e+01 -1.8447973e+01 -1.3313956e-01 4.9499803e+01 -2.8580709e-01 3.4929015e-04 -1.3875256e-02
25              -1.8707361e+01 -1.4443758e-01 5.0566798e+01 -1.8422040e+01 -1.4474516e-01 5.0580675e+01 -2.8532058e-01 3.0757449e-04 -1.3877122e-02
26              -1.8718189e+01 -1.5207606e-01 5.1562136e+01 -1.8433171e+01 -1.5238935e-01 5.1576232e+01 -2.8501794e-01 3.1329498e-04 -1.4096621e-02
27              -1.8705205e+01 -1.6058348e-01 5.2409284e+01 -1.8420593e+01 -1.6084574e-01 5.2423295e+01 -2.8461214e-01 2.6225724e-04 -1.4011217e-02
28              -1.8734662e+01 -1.6645446e-01 5.3227134e+01 -1.8450454e+01 -1.6669192e-01 5.3241283e+01 -2.8420805e-01 2.3746143e-04 -1.4149060e-02
29              -1.8735876e+01 -1.7189365e-01 5.3912704e+01 -1.8451995e+01 -1.7210793e-01 5.3926793e+01 -2.8388187e-01 2.1428072e-04 -1.4089203e-02
30              -1.8771574e+01 -1.7411239e-01 5.4571140e+01 -1.8487940e+01 -1.7432407e-01 5.4585330e+01 -2.8363459e-01 2.1167569e-04 -1.4190686e-02
31              -1.8779613e+01 -1.7927220e-01 5.5130410e+01 -1.8496256e+01 -1.7946201e-01 5.5144508e+01 -2.8335621e-01 1.8981647e-04 -1.4097636e-02
32              -1.8824245e+01 -1.8038972e-01 5.5684336e+01 -1.8541072e+01 -1.8056861e-01 5.5698514e+01 -2.8317279e-01 1.7888496e-04 -1.4177718e-02
33              -1.8836739e+01 -1.8508012e-01 5.6137259e+01 -1.8553767e+01 -1.8523688e-01 5.6151361e+01 -2.8297163e-01 1.5675454e-04 -1.4102068e-02
34              -1.8870940e+01 -1.8814913e-01 5.6559154e+01 -1.8588100e+01 -1.8831134e-01 5.6573313e+01 -2.8283961e-01 1.6221055e-04 -1.4159307e-02
35              -1.8880667e+01 -1.9184410e-01 5.6911103e+01 -1.8598008e+01 -1.9198217e-01 5.6925160e+01 -2.8265858e-01 1.3807198e-04 -1.4057530e-02
36              -1.8909082e+01 -1.9286638e-01 5.7247039e+01 -1.8626595e+01 -1.9299172e-01 5.7261118e+01 -2.8248726e-01 1.2534592e-04 -1.4079090e-02
37              -1.8917372e+01 -1.9124809e-01 5.7522674e+01 -1.8634925e+01 -1.9140536e-01 5.7536734e+01 -2.8244752e-01 1.5727129e-04 -1.4060213e-02
38              -1.8938785e+01 -1.8932048e-01 5.7773480e+01 -1.8656357e+01 -1.8948591e-01 5.7787555e+01 -2.8242798e-01 1.6542469e-04 -1.4075354e-02
39              -1.8942266e+01 -1.8834639e-01 5.7984697e+01 -1.8659928e+01 -1.8849965e-01 5.7998714e+01 -2.8233741e-01 1.5325356e-04 -1.4017116e-02
40              -1.8960706e+01 -1.8733452e-01 5.8186477e+01 -1.8678366e+01 -1.8750400e-01 5.8200533e+01 -2.8234031e-01 1.6947137e-04 -1.4056527e-02
41              -1.8964809e+01 -1.8666548e-01 5.8346940e+01 -1.8682498e+01 -1.8682522e-01 5.8360934e+01 -2.8231065e-01 1.5973422e-04 -1.3993989e-02
42              -1.8974502e+01 -1.8542600e-01 5.8484866e+01 -1.8692178e+01 -1.8560744e-01 5.8498908e+01 -2.8232330e-01 1.8143549e-04 -1.4042357e-02
43              -1.8982644e+01 -1.8648580e-01 5.8628941e+01 -1.8700320e+01 -1.8666656e-01 5.8642952e+01 -2.8232353e-01 1.8076230e-04 -1.4010360e-02
44              -1.8988677e+01 -1.8701748e-01 5.8724395e+01 -1.8706360e+01 -1.8720559e-01 5.8738438e+01 -2.8231696e-01 1.8811040e-04 -1.4043077e-02
45              -1.8998604e+01 -1.8955732e-01 5.8844577e+01 -1.8716291e+01 -1.8973935e-01 5.8858595e+01 -2.8231230e-01 1.8202400e-04 -1.4017924e-02
46              -1.9000700e+01 -1.9062665e-01 5.8907042e+01 -1.8718419e+01 -1.9080973e-01 5.8921077e+01 -2.8228102e-01 1.8307368e-04 -1.4035205e-02
47              -1.9008724e+01 -1.9442648e-01 5.9004655e+01 -1.8726465e+01 -1.9460490e-01 5.9018665e+01 -2.8225930e-01 1.7841884e-04 -1.4010489e-02
48              -1.9010190e+01 -1.9255541e-01 5.9055712e+01 -1.8728088e+01 -1.9271180e-01 5.9069713e+01 -2.8210196e-01 1.5639596e-04 -1.4001359e-02
49              -1.9013009e+01 -1.9158857e-01 5.9119823e+01 -1.8730791e+01 -1.9178654e-01 5.9133859e+01 -2.8221764e-01 1.9797468e-04 -1.4036352e-02
50              -1.9014962e+01 -1.8922387e-01 5.9165506e+01 -1.8732718e+01 -1.8943310e-01 5.9179544e+01 -2.8224438e-01 2.0923460e-04 -1.4038243e-02
51              -1.9018676e+01 -1.8958644e-01 5.9213764e+01 -1.8736421e+01 -1.8977346e-01 5.9227781e+01 -2.8225535e-01 1.8701931e-04 -1.4016982e-02
52              -1.9021441e+01 -1.9018102e-01 5.9252252e+01 -1.8739217e+01 -1.9038498e-01 5.9266271e+01 -2.8222322e-01 2.0395445e-04 -1.4019375e-02
53              -1.9025922e+01 -1.8966295e-01 5.9286868e+01 -1.8743777e+01 -1.8982564e-01 5.9300849e+01 -2.8214513e-01 1.6269716e-04 -1.3981042e-02
54              -1.9017159e+01 -1.8867592e-01 5.9290915e+01 -1.8734966e+01 -1.8888560e-01 5.9304934e+01 -2.8219278e-01 2.0967166e-04 -1.4019441e-02
55              -1.9031439e+01 -1.8542757e-01 5.9349960e+01 -1.8749142e+01 -1.8564702e-01 5.9364035e+01 -2.8229668e-01 2.1944542e-04 -1.4075055e-02
56              -1.9020923e+01 -1.8690921e-01 5.9338440e+01 -1.8738675e+01 -1.8710544e-01 5.9352443e+01 -2.8224803e-01 1.9623180e-04 -1.4002297e-02
57              -1.9036564e+01 -1.8893778e-01 5.9387244e+01 -1.8754263e+01 -1.8914752e-01 5.9401314e+01 -2.8230098e-01 2.0973958e-04 -1.4069823e-02
58              -1.9026772e+01 -1.9175215e-01 5.9377537e+01 -1.8744566e+01 -1.9193531e-01 5.9391490e+01 -2.8220528e-01 1.8316051e-04 -1.3953609e-02
59              -1.9033315e+01 -1.9292357e-01 5.9393590e+01 -1.8751051e+01 -1.9312137e-01 5.9407639e+01 -2.8226407e-01 1.9779217e-04 -1.4049115e-02
60              -1.9034437e+01 -1.9671085e-01 5.9426346e+01 -1.8752250e+01 -1.9689399e-01 5.9440308e+01 -2.8218749e-01 1.8314630e-04 -1.3962801e-02
61              -1.9041116e+01 -1.9347841e-01 5.9438494e+01 -1.8759021e+01 -1.9368455e-01 5.9452548e+01 -2.8209547e-01 2.0613547e-04 -1.4054784e-02
62              -1.9028660e+01 -1.8969483e-01 5.9420597e+01 -1.8746518e+01 -1.8989554e-01 5.9434575e+01 -2.8214189e-01 2.0070888e-04 -1.3977762e-02
63              -1.9044070e+01 -1.9046759e-01 5.9461336e+01 -1.8761837e+01 -1.9066592e-01 5.9475374e+01 -2.8223274e-01 1.9833125e-04 -1.4037715e-02
64              -1.9029611e+01 -1.9156609e-01 5.9428115e+01 -1.8747465e+01 -1.9176489e-01 5.9442061e+01 -2.8214561e-01 1.9880479e-04 -1.3945780e-02
65              -1.9042624e+01 -1.8584262e-01 5.9464238e+01 -1.8760384e+01 -1.8604608e-01 5.9478278e+01 -2.8224071e-01 2.0345447e-04 -1.4039546e-02
66              -1.9040097e+01 -1.8714678e-01 5.9477555e+01 -1.8757899e+01 -1.8734682e-01 5.9491515e+01 -2.8219897e-01 2.0003487e-04 -1.3959932e-02
67              -1.9049404e+01 -1.8721759e-01 5.9478207e+01 -1.8767110e+01 -1.8742798e-01 5.9492274e+01 -2.8229408e-01 2.1038646e-04 -1.4067595e-02
68              -1.9036851e+01 -1.8911269e-01 5.9443603e+01 -1.8754620e+01 -1.8930822e-01 5.9457589e+01 -2.8223112e-01 1.9552866e-04 -1.3986032e-02
69              -1.9044144e+01 -1.9322326e-01 5.9465956e+01 -1.8761873e+01 -1.9343602e-01 5.9480017e+01 -2.8227145e-01 2.1275434e-04 -1.4060880e-02
70              -1.9043442e+01 -1.9320838e-01 5.9478231e+01 -1.8761230e+01 -1.9339931e-01 5.9492213e+01 -2.8221268e-01 1.9093117e-04 -1.3981847e-02
71              -1.9048377e+01 -1.9349161e-01 5.9488037e+01 -1.8766136e+01 -1.9367825e-01 5.9502095e+01 -2.8224151e-01 1.8664340e-04 -1.4058341e-02
72              -1.9042322e+01 -1.9623746e-01 5.9477632e+01 -1.8760234e+01 -1.9640138e-01 5.9491587e+01 -2.8208798e-01 1.6391639e-04 -1.3954403e-02
