# Moment       
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1               9.9869871e-02 -2.3016061e+00 -1.7663117e-01 9.9993423e-02 -2.3031933e+00 -1.7640812e-01 -1.2355290e-04 1.5872064e-03 -2.2305574e-04
2               3.1029470e-01 3.4275882e+00 -2.4659410e-01 3.1062625e-01 3.4256695e+00 -2.4654687e-01 -3.3155325e-04 1.9187284e-03 -4.7234303e-05
3               9.7092948e-01 1.0070426e+01 -1.9202457e-01 9.7174609e-01 1.0068480e+01 -1.9246669e-01 -8.1660562e-04 1.9459599e-03 4.4211970e-04
4               -1.3246070e-01 8.1294029e+00 -6.0005622e-02 -1.3194015e-01 8.1275699e+00 -6.0079962e-02 -5.2055450e-04 1.8330309e-03 7.4339816e-05
5               -9.5676449e-01 5.1664407e+00 1.0127061e-02 -9.5659273e-01 5.1655850e+00 1.0131450e-02 -1.7175777e-04 8.5561254e-04 -4.3888387e-06
6               -8.1798559e-01 4.0047561e+00 9.7005958e-02 -8.1803579e-01 4.0043643e+00 9.6461088e-02 5.0201835e-05 3.9180069e-04 5.4487028e-04
7               -3.2990886e-01 3.5580745e+00 1.8259140e-01 -3.2997737e-01 3.5581536e+00 1.8170233e-01 6.8510377e-05 -7.9025056e-05 8.8906468e-04
8               7.4358507e-02 2.8348946e+00 2.1944041e-01 7.4293385e-02 2.8353633e+00 2.1837755e-01 6.5121968e-05 -4.6868514e-04 1.0628563e-03
9               2.6302274e-01 1.7574856e+00 2.0184895e-01 2.6297501e-01 1.7584994e+00 2.0106886e-01 4.7723688e-05 -1.0137666e-03 7.8008764e-04
10              3.2796793e-01 5.5661969e-01 1.4972943e-01 3.2794439e-01 5.5835252e-01 1.4924600e-01 2.3543431e-05 -1.7328356e-03 4.8342967e-04
11              3.3561535e-01 -4.8965728e-01 8.1771030e-02 3.3563304e-01 -4.8705985e-01 8.1660715e-02 -1.7689672e-05 -2.5974372e-03 1.1031539e-04
12              3.2246844e-01 -1.1832744e+00 9.8739629e-03 3.2247622e-01 -1.1798618e+00 1.0148403e-02 -7.7852496e-06 -3.4126591e-03 -2.7444005e-04
13              3.1122768e-01 -1.4901269e+00 -4.9160551e-02 3.1124967e-01 -1.4858825e+00 -4.8621808e-02 -2.1983849e-05 -4.2444078e-03 -5.3874242e-04
14              3.0928233e-01 -1.4670908e+00 -9.1789197e-02 3.0927655e-01 -1.4622053e+00 -9.1010139e-02 5.7843214e-06 -4.8854625e-03 -7.7905757e-04
15              3.0962852e-01 -1.2300616e+00 -1.1904517e-01 3.0961240e-01 -1.2246140e+00 -1.1809123e-01 1.6121972e-05 -5.4475573e-03 -9.5393831e-04
16              3.2460263e-01 -9.3085102e-01 -1.2960895e-01 3.2456135e-01 -9.2494986e-01 -1.2845050e-01 4.1279829e-05 -5.9011656e-03 -1.1584484e-03
17              3.4470743e-01 -6.8599199e-01 -1.2777441e-01 3.4465149e-01 -6.7964849e-01 -1.2641909e-01 5.5936957e-05 -6.3435012e-03 -1.3553188e-03
18              3.6436649e-01 -5.4780072e-01 -1.1988541e-01 3.6429598e-01 -5.4112918e-01 -1.1840702e-01 7.0512940e-05 -6.6715387e-03 -1.4783984e-03
19              3.8506708e-01 -5.2413233e-01 -1.0877790e-01 3.8499430e-01 -5.1716604e-01 -1.0724067e-01 7.2782769e-05 -6.9662936e-03 -1.5372261e-03
20              4.0961990e-01 -6.0129875e-01 -9.6783191e-02 4.0954285e-01 -5.9410809e-01 -9.5220190e-02 7.7056683e-05 -7.1906626e-03 -1.5630012e-03
21              4.1667512e-01 -7.5010749e-01 -9.1994854e-02 4.1660094e-01 -7.4264975e-01 -9.0422055e-02 7.4173002e-05 -7.4577331e-03 -1.5727989e-03
22              4.5049927e-01 -9.5192991e-01 -8.0562984e-02 4.5043289e-01 -9.4426620e-01 -7.9040226e-02 6.6373809e-05 -7.6637087e-03 -1.5227582e-03
23              4.7942950e-01 -1.1681188e+00 -6.7167166e-02 4.7937515e-01 -1.1601738e+00 -6.5704590e-02 5.4352271e-05 -7.9449834e-03 -1.4625760e-03
24              4.9682907e-01 -1.3893952e+00 -5.8817426e-02 4.9677981e-01 -1.3812423e+00 -5.7429264e-02 4.9264970e-05 -8.1528473e-03 -1.3881612e-03
25              5.1786980e-01 -1.5770985e+00 -4.9639864e-02 5.1783845e-01 -1.5686604e+00 -4.8293146e-02 3.1355524e-05 -8.4380472e-03 -1.3467172e-03
26              5.3883679e-01 -1.7257406e+00 -4.1275339e-02 5.3882044e-01 -1.7171876e+00 -4.0076032e-02 1.6351967e-05 -8.5530048e-03 -1.1993077e-03
27              5.4928894e-01 -1.8121000e+00 -3.2424531e-02 5.4928152e-01 -1.8033921e+00 -3.1336516e-02 7.4205843e-06 -8.7079351e-03 -1.0880150e-03
28              5.5587688e-01 -1.8384564e+00 -2.8262240e-02 5.5587850e-01 -1.8296390e+00 -2.7249733e-02 -1.6179980e-06 -8.8174674e-03 -1.0125072e-03
29              5.6268083e-01 -1.8039098e+00 -2.3546647e-02 5.6270293e-01 -1.7950003e+00 -2.2628308e-02 -2.2099970e-05 -8.9095627e-03 -9.1833961e-04
30              5.6683268e-01 -1.7258901e+00 -2.2008598e-02 5.6685574e-01 -1.7169516e+00 -2.1175448e-02 -2.3060678e-05 -8.9385314e-03 -8.3314958e-04
31              5.7810308e-01 -1.6104017e+00 -1.7375678e-02 5.7815190e-01 -1.6014266e+00 -1.6620815e-02 -4.8821787e-05 -8.9751093e-03 -7.5486305e-04
32              5.6678447e-01 -1.4693556e+00 -2.1658671e-02 5.6683279e-01 -1.4603791e+00 -2.0952919e-02 -4.8322164e-05 -8.9764995e-03 -7.0575125e-04
33              5.7198491e-01 -1.3110362e+00 -2.0060488e-02 5.7204522e-01 -1.3020248e+00 -1.9391584e-02 -6.0309285e-05 -9.0113665e-03 -6.6890459e-04
34              5.7914540e-01 -1.1536170e+00 -1.9789848e-02 5.7920606e-01 -1.1446148e+00 -1.9150677e-02 -6.0657445e-05 -9.0022565e-03 -6.3917102e-04
35              5.8109740e-01 -9.9588093e-01 -2.0783988e-02 5.8116883e-01 -9.8686846e-01 -2.0164157e-02 -7.1434227e-05 -9.0124761e-03 -6.1983101e-04
36              5.8937363e-01 -8.4292681e-01 -2.1498429e-02 5.8944321e-01 -8.3388932e-01 -2.0863371e-02 -6.9576715e-05 -9.0374844e-03 -6.3505834e-04
37              5.8643623e-01 -7.0024332e-01 -2.4613617e-02 5.8651696e-01 -6.9122556e-01 -2.4012666e-02 -8.0725025e-05 -9.0177584e-03 -6.0095078e-04
38              5.9486808e-01 -5.6952435e-01 -2.5250829e-02 5.9494118e-01 -5.6053103e-01 -2.4672766e-02 -7.3108640e-05 -8.9933237e-03 -5.7806309e-04
39              5.9645891e-01 -4.4605116e-01 -2.6096186e-02 5.9653885e-01 -4.3703780e-01 -2.5513627e-02 -7.9935596e-05 -9.0133630e-03 -5.8255897e-04
40              6.0303161e-01 -3.4043663e-01 -2.6164240e-02 6.0310906e-01 -3.3144590e-01 -2.5594950e-02 -7.7443333e-05 -8.9907337e-03 -5.6928999e-04
41              6.0171017e-01 -2.3956064e-01 -2.6899978e-02 6.0179134e-01 -2.3056633e-01 -2.6338887e-02 -8.1173548e-05 -8.9943069e-03 -5.6109139e-04
42              6.0397557e-01 -1.5482287e-01 -2.7479451e-02 6.0405635e-01 -1.4585293e-01 -2.6932711e-02 -8.0780654e-05 -8.9699372e-03 -5.4674050e-04
43              6.0348671e-01 -7.0656048e-02 -2.8280009e-02 6.0357109e-01 -6.1679507e-02 -2.7738389e-02 -8.4375610e-05 -8.9765414e-03 -5.4162021e-04
44              6.0710743e-01 -4.8378116e-03 -2.7852083e-02 6.0719486e-01 4.1249997e-03 -2.7315995e-02 -8.7434754e-05 -8.9628113e-03 -5.3608796e-04
45              6.0585606e-01 6.1835914e-02 -2.8239515e-02 6.0594651e-01 7.0808686e-02 -2.7702798e-02 -9.0454906e-05 -8.9727717e-03 -5.3671636e-04
46              6.0492288e-01 1.1273616e-01 -2.8497346e-02 6.0501258e-01 1.2170332e-01 -2.7957535e-02 -8.9699177e-05 -8.9671561e-03 -5.3981075e-04
47              6.0933113e-01 1.6757993e-01 -2.6864753e-02 6.0942322e-01 1.7657254e-01 -2.6316029e-02 -9.2098901e-05 -8.9926167e-03 -5.4872344e-04
48              6.0252816e-01 2.0457586e-01 -2.9510256e-02 6.0261290e-01 2.1361280e-01 -2.8902984e-02 -8.4740655e-05 -9.0369431e-03 -6.0727194e-04
49              6.0537099e-01 2.4621097e-01 -3.0025533e-02 6.0546577e-01 2.5521511e-01 -2.9459591e-02 -9.4782275e-05 -9.0041436e-03 -5.6594217e-04
50              6.0698096e-01 2.7467675e-01 -2.9739248e-02 6.0706596e-01 2.8365342e-01 -2.9196479e-02 -8.4999359e-05 -8.9766704e-03 -5.4276900e-04
51              6.0673930e-01 3.1011179e-01 -3.0217860e-02 6.0682629e-01 3.1910901e-01 -2.9665439e-02 -8.6987963e-05 -8.9972251e-03 -5.5242127e-04
52              6.0759763e-01 3.2882457e-01 -2.9697853e-02 6.0767800e-01 3.3781843e-01 -2.9143850e-02 -8.0372351e-05 -8.9938586e-03 -5.5400260e-04
53              6.0565980e-01 3.5331526e-01 -3.0832185e-02 6.0573830e-01 3.6235240e-01 -3.0235612e-02 -7.8499535e-05 -9.0371342e-03 -5.9657292e-04
54              6.0803891e-01 3.6682071e-01 -2.9116973e-02 6.0813071e-01 3.7581004e-01 -2.8567451e-02 -9.1795250e-05 -8.9893280e-03 -5.4952246e-04
55              6.0216302e-01 3.9158936e-01 -3.1590255e-02 6.0224598e-01 4.0057780e-01 -3.1048497e-02 -8.2966779e-05 -8.9884307e-03 -5.4175861e-04
56              6.0299281e-01 3.9827239e-01 -3.0421367e-02 6.0308669e-01 4.0725682e-01 -2.9882700e-02 -9.3877136e-05 -8.9844351e-03 -5.3866754e-04
57              6.0821238e-01 4.1366414e-01 -2.8741519e-02 6.0830323e-01 4.2264552e-01 -2.8205195e-02 -9.0844754e-05 -8.9813819e-03 -5.3632446e-04
58              6.0383927e-01 4.1767803e-01 -2.7886092e-02 6.0394277e-01 4.2664347e-01 -2.7360786e-02 -1.0349821e-04 -8.9654473e-03 -5.2530661e-04
59              6.0365815e-01 4.3721506e-01 -2.8010582e-02 6.0375206e-01 4.4621645e-01 -2.7462745e-02 -9.3911909e-05 -9.0013903e-03 -5.4783682e-04
60              5.9566619e-01 4.3864279e-01 -3.0743003e-02 5.9576186e-01 4.4765746e-01 -3.0177088e-02 -9.5669139e-05 -9.0146645e-03 -5.6591535e-04
61              5.9838340e-01 4.4627290e-01 -3.0939352e-02 5.9847209e-01 4.5533479e-01 -3.0318691e-02 -8.8696084e-05 -9.0618958e-03 -6.2066068e-04
62              5.9403929e-01 4.4574976e-01 -3.2798306e-02 5.9413602e-01 4.5475430e-01 -3.2231678e-02 -9.6733730e-05 -9.0045352e-03 -5.6662867e-04
63              6.0504345e-01 4.6005584e-01 -3.2016729e-02 6.0512124e-01 4.6907932e-01 -3.1444133e-02 -7.7792646e-05 -9.0234828e-03 -5.7259652e-04
64              6.1842777e-01 4.5798530e-01 -2.6054240e-02 6.1852258e-01 4.6701229e-01 -2.5493346e-02 -9.4816920e-05 -9.0269948e-03 -5.6089447e-04
65              5.8696852e-01 4.6485996e-01 -3.5715730e-02 5.8704587e-01 4.7386854e-01 -3.5145505e-02 -7.7350438e-05 -9.0085742e-03 -5.7022508e-04
